DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/28,1,Economic,Local,WIND,105,125
01/28,2,Economic,Local,WIND,126,139
01/28,3,Economic,Local,WIND,160,184
01/28,4,Economic,Local,WIND,171,193
01/28,5,Economic,Local,WIND,170,182
01/28,6,Economic,Local,WIND,170,200
01/28,7,Economic,Local,WIND,147,174
01/28,8,Economic,Local,WIND,157,191
01/28,9,Economic,Local,SOLR,5,14
01/28,9,Economic,Local,WIND,186,194
01/28,9,Economic,System,SOLR,104,500
01/28,9,Economic,System,WIND,8,20
01/28,10,Economic,Local,SOLR,13,13
01/28,10,Economic,Local,WIND,201,206
01/28,10,Economic,System,SOLR,18,116
01/28,10,Economic,System,WIND,6,19
01/28,11,Economic,Local,SOLR,10,2
01/28,11,Economic,Local,WIND,205,226
01/28,11,Economic,System,SOLR,84,492
01/28,11,Economic,System,WIND,9,23
01/28,12,Economic,Local,SOLR,3,4
01/28,12,Economic,Local,WIND,242,267
01/28,12,Economic,System,SOLR,431,671
01/28,12,Economic,System,WIND,21,21
01/28,13,Economic,Local,WIND,205,200
01/28,13,Economic,System,SOLR,726,1039
01/28,13,Economic,System,WIND,20,20
01/28,14,Economic,Local,SOLR,0,0
01/28,14,Economic,Local,WIND,208,205
01/28,14,Economic,System,SOLR,646,924
01/28,14,Economic,System,WIND,18,18
01/28,15,Economic,Local,WIND,187,199
01/28,15,Economic,System,SOLR,613,781
01/28,15,Economic,System,WIND,19,22
01/28,16,Economic,Local,WIND,141,
01/28,16,Economic,System,SOLR,414,1014
01/28,16,Economic,System,WIND,28,213
01/28,17,Economic,Local,WIND,106,165
01/28,17,Economic,System,SOLR,0,0
01/28,17,Economic,System,WIND,2,12
01/28,18,Economic,Local,WIND,59,102
01/28,19,Economic,Local,WIND,60,97
01/28,20,Economic,Local,WIND,64,73
01/28,21,Economic,Local,WIND,69,122
01/28,22,Economic,Local,WIND,103,121
01/28,23,Economic,Local,WIND,102,113
