DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/29,1,Economic,Local,WIND,147,168
12/29,2,Economic,Local,WIND,104,114
12/29,3,Economic,Local,WIND,103,116
12/29,4,Economic,Local,WIND,127,145
12/29,5,Economic,Local,WIND,108,143
12/29,6,Economic,Local,WIND,118,165
12/29,7,Economic,Local,WIND,124,155
12/29,8,Economic,Local,WIND,92,132
12/29,9,Economic,Local,WIND,62,110
12/29,9,Economic,System,SOLR,0,
12/29,9,Economic,System,WIND,3,
12/29,10,Economic,Local,SOLR,6,7
12/29,10,Economic,Local,WIND,26,59
12/29,10,Economic,System,SOLR,0,
12/29,11,Economic,Local,SOLR,125,286
12/29,11,Economic,Local,WIND,120,155
12/29,11,Economic,System,SOLR,0,1
12/29,12,Economic,Local,SOLR,274,372
12/29,12,Economic,Local,WIND,156,152
12/29,12,Economic,System,SOLR,0,
12/29,13,Economic,Local,SOLR,1,
12/29,13,Economic,Local,WIND,109,152
12/29,14,Economic,Local,SOLR,2,1
12/29,14,Economic,Local,WIND,95,112
12/29,14,Economic,System,SOLR,0,
12/29,15,Economic,Local,SOLR,0,
12/29,15,Economic,Local,WIND,97,124
12/29,15,Economic,System,SOLR,0,
12/29,16,Economic,Local,WIND,83,114
12/29,16,Economic,System,SOLR,1,2
12/29,17,Economic,Local,WIND,49,74
12/29,18,Economic,Local,WIND,55,154
12/29,19,Economic,Local,WIND,94,137
12/29,20,Economic,Local,WIND,143,183
12/29,21,Economic,Local,WIND,132,161
12/29,22,Economic,Local,WIND,198,248
12/29,23,Economic,Local,WIND,158,201
