DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/04,1,Economic,Local,WIND,19,87
12/04,2,Economic,Local,WIND,44,66
12/04,3,Economic,Local,WIND,47,98
12/04,4,Economic,Local,WIND,35,59
12/04,5,Economic,Local,WIND,7,51
12/04,6,Economic,Local,WIND,83,190
12/04,7,Economic,Local,WIND,151,168
12/04,8,Economic,Local,SOLR,29,76
12/04,8,Economic,Local,WIND,126,195
12/04,9,Economic,Local,SOLR,99,
12/04,9,Economic,Local,WIND,175,168
12/04,9,Economic,System,SOLR,156,530
12/04,9,Economic,System,WIND,0,0
12/04,10,Economic,Local,SOLR,223,262
12/04,10,Economic,Local,WIND,129,162
12/04,10,Economic,System,SOLR,1,3
12/04,11,Economic,Local,SOLR,268,287
12/04,11,Economic,Local,WIND,104,145
12/04,12,Economic,Local,SOLR,209,236
12/04,12,Economic,Local,WIND,98,103
12/04,13,Economic,Local,SOLR,180,195
12/04,13,Economic,Local,WIND,138,152
12/04,14,Economic,Local,SOLR,216,258
12/04,14,Economic,Local,WIND,131,180
12/04,15,Economic,Local,SOLR,125,165
12/04,15,Economic,Local,WIND,97,124
12/04,15,Economic,System,SOLR,0,3
12/04,15,Economic,System,WIND,5,52
12/04,16,Economic,Local,WIND,64,51
12/04,16,Economic,System,SOLR,4,44
12/04,16,Economic,System,WIND,10,52
12/04,17,Economic,Local,WIND,36,47
12/04,18,Economic,Local,WIND,51,62
12/04,19,Economic,Local,WIND,50,56
12/04,20,Economic,Local,WIND,56,112
12/04,21,Economic,Local,WIND,102,176
12/04,22,Economic,Local,WIND,100,114
12/04,23,Economic,Local,WIND,118,136
