DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/25,1,Economic,Local,WIND,42,56
11/25,2,Economic,Local,WIND,3,33
11/25,3,Economic,Local,WIND,13,50
11/25,9,Economic,Local,SOLR,18,62
11/25,9,Economic,Local,WIND,0,3
11/25,9,Economic,System,SOLR,19,41
11/25,9,Economic,System,WIND,1,
11/25,9,SelfSchCut,Local,SOLR,13,20
11/25,10,Economic,Local,SOLR,194,336
11/25,10,Economic,Local,WIND,3,4
11/25,10,Economic,System,SOLR,0,
11/25,10,SelfSchCut,Local,SOLR,14,10
11/25,11,Economic,Local,SOLR,249,295
11/25,11,Economic,Local,WIND,6,8
11/25,11,Economic,System,SOLR,0,
11/25,11,SelfSchCut,Local,SOLR,15,14
11/25,12,Economic,Local,SOLR,144,233
11/25,12,Economic,Local,WIND,6,7
11/25,12,Economic,System,SOLR,2,25
11/25,12,SelfSchCut,Local,SOLR,12,6
11/25,13,Economic,Local,SOLR,192,418
11/25,13,Economic,Local,WIND,3,4
11/25,13,Economic,System,SOLR,0,
11/25,13,SelfSchCut,Local,SOLR,22,20
11/25,14,Economic,Local,SOLR,263,390
11/25,14,Economic,Local,WIND,3,4
11/25,14,SelfSchCut,Local,SOLR,30,34
11/25,15,Economic,Local,SOLR,26,123
11/25,15,Economic,Local,WIND,0,3
11/25,15,Economic,System,SOLR,16,43
11/25,15,Economic,System,WIND,1,
11/25,15,SelfSchCut,Local,SOLR,21,8
11/25,16,Economic,Local,SOLR,10,14
11/25,16,Economic,System,SOLR,1,2
11/25,16,SelfSchCut,Local,SOLR,12,27
11/25,23,Economic,Local,WIND,2,19
