DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/27,9,Economic,Local,SOLR,1,
12/27,9,Economic,System,SOLR,12,145
12/27,9,Economic,System,WIND,7,21
12/27,10,Economic,Local,SOLR,14,14
12/27,10,Economic,System,SOLR,98,407
12/27,10,Economic,System,WIND,9,20
12/27,10,SelfSchCut,Local,SOLR,0,
12/27,11,Economic,Local,SOLR,4,
12/27,11,Economic,System,SOLR,126,445
12/27,11,Economic,System,WIND,16,19
12/27,12,Economic,System,SOLR,502,723
12/27,12,Economic,System,WIND,19,18
12/27,13,Economic,Local,SOLR,5,
12/27,13,Economic,System,SOLR,27,133
12/27,13,Economic,System,WIND,10,12
12/27,14,Economic,Local,SOLR,6,
12/27,14,Economic,System,SOLR,151,274
12/27,14,Economic,System,WIND,10,10
12/27,14,SelfSchCut,Local,SOLR,0,
12/27,15,Economic,Local,SOLR,176,484
12/27,15,Economic,Local,WIND,8,8
12/27,15,Economic,System,SOLR,50,0
12/27,15,Economic,System,WIND,2,1
12/27,16,Economic,Local,SOLR,81,351
12/27,16,Economic,Local,WIND,4,10
12/27,16,Economic,System,SOLR,7,0
12/27,16,Economic,System,WIND,0,
12/27,18,Economic,Local,WIND,0,4
12/27,21,Economic,Local,WIND,21,34
12/27,22,Economic,Local,WIND,42,51
12/27,23,Economic,Local,WIND,49,53
12/27,24,Economic,Local,WIND,7,29
