DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/06,2,Economic,Local,WIND,3,29
11/06,3,Economic,Local,WIND,12,46
11/06,4,Economic,Local,WIND,17,66
11/06,4,Economic,System,WIND,2,
11/06,5,Economic,Local,WIND,31,49
11/06,5,Economic,Local,WIND,31,49
11/06,6,Economic,Local,WIND,21,49
11/06,6,Economic,Local,WIND,21,49
11/06,6,Economic,Local,WIND,21,49
11/06,8,Economic,System,SOLR,294,809
11/06,8,Economic,System,WIND,61,126
11/06,9,Economic,Local,SOLR,112,
11/06,9,Economic,Local,WIND,82,
11/06,9,Economic,System,SOLR,42,342
11/06,9,Economic,System,WIND,15,89
11/06,10,Economic,Local,SOLR,204,318
11/06,10,Economic,Local,WIND,217,259
11/06,11,Economic,Local,SOLR,169,195
11/06,11,Economic,Local,WIND,172,239
11/06,12,Economic,Local,SOLR,140,155
11/06,12,Economic,Local,WIND,126,164
11/06,13,Economic,Local,SOLR,120,128
11/06,13,Economic,Local,WIND,115,157
11/06,14,Economic,Local,SOLR,96,130
11/06,14,Economic,Local,WIND,90,144
11/06,15,Economic,Local,SOLR,38,25
11/06,15,Economic,Local,WIND,133,205
