DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/27,1,Economic,Local,WIND,145,170
01/27,2,Economic,Local,WIND,101,120
01/27,3,Economic,Local,WIND,138,178
01/27,4,Economic,Local,WIND,167,194
01/27,5,Economic,Local,WIND,155,175
01/27,6,Economic,Local,WIND,154,189
01/27,7,Economic,Local,WIND,101,126
01/27,8,Economic,Local,WIND,107,146
01/27,9,Economic,Local,SOLR,0,
01/27,9,Economic,Local,WIND,141,142
01/27,9,Economic,System,SOLR,292,1067
01/27,9,Economic,System,WIND,47,166
01/27,10,Economic,Local,SOLR,7,11
01/27,10,Economic,Local,WIND,173,175
01/27,10,Economic,System,SOLR,296,938
01/27,10,Economic,System,WIND,45,80
01/27,11,Economic,Local,SOLR,5,
01/27,11,Economic,Local,WIND,195,221
01/27,11,Economic,System,SOLR,2,1
01/27,11,Economic,System,WIND,2,22
01/27,12,Economic,Local,WIND,212,218
01/27,12,Economic,System,SOLR,65,228
01/27,12,Economic,System,WIND,32,78
01/27,13,Economic,Local,WIND,229,252
01/27,13,Economic,System,SOLR,31,73
01/27,13,Economic,System,WIND,36,93
01/27,14,Economic,Local,WIND,220,263
01/27,14,Economic,System,SOLR,1,1
01/27,14,Economic,System,WIND,3,
01/27,15,Economic,Local,WIND,210,237
01/27,15,Economic,System,SOLR,2,6
01/27,15,Economic,System,WIND,12,45
01/27,16,Economic,Local,WIND,196,238
01/27,16,Economic,System,SOLR,54,430
01/27,16,Economic,System,WIND,15,42
01/27,17,Economic,Local,WIND,65,118
01/27,18,Economic,Local,WIND,57,98
01/27,19,Economic,Local,WIND,18,65
01/27,21,Economic,Local,WIND,8,20
01/27,22,Economic,Local,WIND,3,18
01/27,23,Economic,Local,WIND,21,63
