DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/31,1,Economic,Local,WIND,94,159
01/31,2,Economic,Local,WIND,78,159
01/31,3,Economic,Local,WIND,50,78
01/31,4,Economic,Local,WIND,44,56
01/31,5,Economic,Local,WIND,21,44
01/31,6,Economic,Local,WIND,55,105
01/31,7,Economic,Local,WIND,5,56
01/31,9,Economic,Local,SOLR,2,
01/31,9,Economic,System,SOLR,292,1041
01/31,9,Economic,System,WIND,1,8
01/31,10,Economic,Local,SOLR,10,15
01/31,10,Economic,System,SOLR,124,520
01/31,10,Economic,System,WIND,0,1
01/31,11,Economic,Local,SOLR,9,2
01/31,11,Economic,System,SOLR,12,144
01/31,11,Economic,System,WIND,0,1
01/31,12,Economic,Local,SOLR,21,
01/31,12,Economic,Local,WIND,0,
01/31,12,Economic,System,SOLR,112,567
01/31,12,Economic,System,WIND,0,1
01/31,13,Economic,Local,SOLR,0,
01/31,13,Economic,System,SOLR,5,52
01/31,13,Economic,System,WIND,0,1
01/31,14,Economic,Local,SOLR,9,79
01/31,14,Economic,Local,WIND,0,1
01/31,14,Economic,System,SOLR,9,47
01/31,14,Economic,System,WIND,0,0
01/31,15,Economic,Local,SOLR,0,
01/31,15,Economic,System,SOLR,83,363
01/31,15,Economic,System,WIND,0,1
01/31,16,Economic,System,SOLR,39,262
01/31,16,Economic,System,WIND,0,1
