DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
12/28,6,Economic,Local,WIND,16,192
12/28,7,Economic,Local,WIND,37,56
12/28,8,Economic,Local,WIND,46,66
12/28,9,Economic,Local,WIND,28,68
12/28,10,Economic,Local,WIND,45,62
12/28,10,Economic,System,SOLR,1,2
12/28,11,Economic,Local,WIND,14,59
12/28,11,Economic,System,SOLR,3,
12/28,11,Economic,System,WIND,2,
12/28,12,Economic,Local,WIND,1,1
12/28,12,Economic,System,SOLR,136,540
12/28,12,Economic,System,WIND,8,8
12/28,13,Economic,Local,SOLR,112,381
12/28,13,Economic,Local,WIND,7,11
12/28,13,Economic,System,SOLR,12,3
12/28,13,Economic,System,WIND,3,
12/28,14,Economic,Local,SOLR,91,184
12/28,14,Economic,Local,WIND,9,8
12/28,14,Economic,System,SOLR,1,1
12/28,14,Economic,System,WIND,0,
12/28,15,Economic,Local,SOLR,10,117
12/28,15,Economic,System,SOLR,1,
12/28,16,Economic,System,SOLR,0,0
12/28,17,Economic,Local,WIND,0,0
12/28,18,Economic,Local,WIND,13,68
12/28,19,Economic,Local,WIND,1,4
12/28,21,Economic,Local,WIND,37,89
12/28,22,Economic,Local,WIND,83,166
12/28,23,Economic,Local,WIND,102,146
