DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/01,5,Economic,System,WIND,27,128
01/01,7,Economic,System,WIND,33,127
01/01,8,Economic,System,WIND,2,29
01/01,9,Economic,System,SOLR,88,474
01/01,9,Economic,System,WIND,46,119
01/01,10,Economic,Local,SOLR,222,695
01/01,10,Economic,Local,WIND,120,496
01/01,10,Economic,System,SOLR,294,
01/01,10,Economic,System,WIND,82,
01/01,11,Economic,Local,SOLR,797,789
01/01,11,Economic,Local,WIND,376,514
01/01,11,Economic,System,SOLR,0,
01/01,11,Economic,System,WIND,5,43
01/01,11,SelfSchCut,Local,SOLR,3,
01/01,12,Economic,Local,SOLR,146,629
01/01,12,Economic,Local,WIND,189,296
01/01,12,Economic,System,SOLR,13,2
01/01,12,Economic,System,WIND,11,
01/01,12,SelfSchCut,Local,SOLR,0,
01/01,13,Economic,Local,SOLR,252,650
01/01,13,Economic,Local,WIND,219,286
01/01,13,SelfSchCut,Local,SOLR,0,
01/01,14,Economic,Local,SOLR,35,92
01/01,14,Economic,Local,WIND,205,249
01/01,14,SelfSchCut,Local,SOLR,245,286
01/01,15,Economic,Local,SOLR,118,347
01/01,15,Economic,Local,WIND,127,201
01/01,15,Economic,System,WIND,1,
01/01,15,SelfSchCut,Local,SOLR,1,
01/01,16,Economic,Local,SOLR,2,3
01/01,16,Economic,Local,WIND,2,
01/01,16,Economic,System,SOLR,0,2
01/01,16,Economic,System,WIND,2,21
