DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
11/24,6,Economic,Local,WIND,26,77
11/24,7,Economic,Local,WIND,14,51
11/24,8,Economic,Local,WIND,1,7
11/24,9,Economic,Local,SOLR,2,11
11/24,9,Economic,Local,WIND,12,1
11/24,9,Economic,System,SOLR,0,0
11/24,9,Economic,System,WIND,7,31
11/24,9,SelfSchCut,Local,SOLR,2,18
11/24,10,Economic,Local,SOLR,38,131
11/24,10,Economic,Local,WIND,8,19
11/24,10,Economic,System,SOLR,0,
11/24,10,Economic,System,WIND,11,
11/24,10,SelfSchCut,Local,SOLR,16,20
11/24,11,Economic,Local,SOLR,34,93
11/24,11,Economic,Local,WIND,27,17
11/24,11,SelfSchCut,Local,SOLR,14,16
11/24,12,Economic,Local,SOLR,14,14
11/24,12,Economic,Local,WIND,104,135
11/24,12,SelfSchCut,Local,SOLR,17,24
11/24,13,Economic,Local,SOLR,29,14
11/24,13,Economic,Local,WIND,166,245
11/24,13,Economic,System,SOLR,0,
11/24,13,SelfSchCut,Local,SOLR,18,22
11/24,14,Economic,Local,SOLR,39,14
11/24,14,Economic,Local,WIND,138,317
11/24,14,Economic,System,SOLR,0,
11/24,14,SelfSchCut,Local,SOLR,23,27
11/24,15,Economic,Local,SOLR,14,14
11/24,15,Economic,Local,WIND,202,219
11/24,15,Economic,System,SOLR,1,
11/24,15,SelfSchCut,Local,SOLR,27,33
11/24,16,Economic,Local,SOLR,9,14
11/24,16,Economic,Local,WIND,200,209
11/24,16,Economic,System,SOLR,0,
11/24,16,SelfSchCut,Local,SOLR,4,26
11/24,17,Economic,Local,WIND,200,215
11/24,18,Economic,Local,WIND,199,205
11/24,19,Economic,Local,WIND,163,211
11/24,20,Economic,Local,WIND,125,145
11/24,21,Economic,Local,WIND,130,198
11/24,22,Economic,Local,WIND,104,154
