DATE,HOUR,CURT TYPE,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
01/30,1,Economic,Local,WIND,200,223
01/30,2,Economic,Local,WIND,201,219
01/30,3,Economic,Local,WIND,177,216
01/30,4,Economic,Local,WIND,200,215
01/30,5,Economic,Local,WIND,169,180
01/30,6,Economic,Local,WIND,134,165
01/30,7,Economic,Local,WIND,107,180
01/30,8,Economic,Local,WIND,227,364
01/30,9,Economic,Local,SOLR,6,14
01/30,9,Economic,Local,WIND,185,150
01/30,9,Economic,System,SOLR,21,253
01/30,9,Economic,System,WIND,0,2
01/30,9,SelfSchCut,Local,SOLR,0,1
01/30,10,Economic,Local,SOLR,56,215
01/30,10,Economic,Local,WIND,105,91
01/30,10,Economic,System,SOLR,0,
01/30,10,Economic,System,WIND,1,
01/30,11,Economic,Local,SOLR,144,381
01/30,11,Economic,Local,WIND,92,139
01/30,11,SelfSchCut,Local,SOLR,0,
01/30,12,Economic,Local,SOLR,74,147
01/30,12,Economic,Local,WIND,174,287
01/30,12,Economic,System,SOLR,0,
01/30,12,Economic,System,WIND,0,
01/30,13,Economic,Local,SOLR,201,385
01/30,13,Economic,Local,WIND,125,156
01/30,13,SelfSchCut,Local,SOLR,2,
01/30,14,Economic,Local,SOLR,13,2
01/30,14,Economic,Local,WIND,157,243
01/30,14,SelfSchCut,Local,SOLR,0,
01/30,15,Economic,Local,WIND,82,111
01/30,16,Economic,Local,WIND,45,69
01/30,16,Economic,System,SOLR,1,
01/30,17,Economic,Local,WIND,5,25
01/30,17,Economic,System,SOLR,1,2
01/30,19,Economic,Local,WIND,55,96
01/30,20,Economic,Local,WIND,66,98
01/30,21,Economic,Local,WIND,116,161
01/30,22,Economic,Local,WIND,89,117
01/30,23,Economic,Local,WIND,79,131
