DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/22,1 Economic,,System,WIND,17,121
02/22,2 Economic,,System,WIND,13,101
02/22,8 Economic,,System,SOLR,0,5
02/22,9 Economic,,Local,SOLR,45,
02/22,9 Economic,,Local,WIND,14,
02/22,9 Economic,,System,SOLR,372,961
02/22,9 Economic,,System,WIND,82,321
02/22,10 Economic,,System,SOLR,903,983
02/22,10 Economic,,System,WIND,315,339
02/22,11 Economic,,System,SOLR,886,1072
02/22,11 Economic,,System,WIND,93,93
02/22,12 Economic,,Local,SOLR,277,
02/22,12 Economic,,Local,WIND,67,
02/22,12 Economic,,System,SOLR,84,949
02/22,12 Economic,,System,WIND,7,82
02/22,13 Economic,,Local,SOLR,19,
02/22,13 Economic,,Local,WIND,12,
02/22,13 Economic,,System,SOLR,53,503
02/22,13 Economic,,System,WIND,28,92
02/22,14 Economic,,Local,SOLR,3,5
02/22,14 Economic,,System,SOLR,23,130
02/22,14 Economic,,System,WIND,10,75
02/22,15 Economic,,Local,SOLR,4,6
02/22,15 Economic,,System,SOLR,48,125
02/22,15 Economic,,System,WIND,54,158
02/22,16 Economic,,Local,SOLR,11,14
02/22,16 Economic,,System,SOLR,0,1
02/22,16 Economic,,System,WIND,7,85
02/22,16 SelfSchCut,,Local,SOLR,2,
02/22,17 Economic,,Local,SOLR,4,9
02/22,17 Economic,,System,SOLR,11,55
02/22,17 Economic,,System,WIND,37,154
02/22,24 Economic,,System,WIND,118,256
