DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/31,1 Economic,,System,WIND,16,108
03/31,2 Economic,,System,WIND,9,105
03/31,3 Economic,,System,WIND,2,22
03/31,4 Economic,,Local,WIND,8,
03/31,4 Economic,,System,WIND,105,220
03/31,5 Economic,,Local,WIND,58,
03/31,5 Economic,,System,WIND,158,566
03/31,6 Economic,,System,WIND,23,160
03/31,8 Economic,,Local,SOLR,0,
03/31,8 Economic,,Local,WIND,19,
03/31,8 Economic,,System,SOLR,34,147
03/31,8 Economic,,System,WIND,27,76
03/31,9 Economic,,Local,SOLR,45,220
03/31,9 Economic,,Local,WIND,8,45
03/31,9 Economic,,System,SOLR,346,1169
03/31,9 Economic,,System,WIND,45,37
03/31,10 Economic,,Local,SOLR,309,45
03/31,10 Economic,,Local,WIND,19,
03/31,10 Economic,,System,SOLR,403,1316
03/31,10 Economic,,System,WIND,53,72
03/31,10 SelfSchCut,,Local,SOLR,4,6
03/31,11 Economic,,Local,SOLR,197,21
03/31,11 Economic,,Local,WIND,27,
03/31,11 Economic,,System,SOLR,410,982
03/31,11 Economic,,System,WIND,42,66
03/31,12 Economic,,Local,SOLR,69,21
03/31,12 Economic,,Local,WIND,53,59
03/31,12 Economic,,System,SOLR,814,1159
03/31,12 Economic,,System,WIND,39,43
03/31,13 Economic,Local,SOLR,171,180
03/31,13 Economic,Local,WIND,72,79
03/31,13 Economic,System,SOLR,240,418
03/31,13 Economic,System,WIND,17,9
03/31,14 Economic,Local,SOLR,162,230
03/31,14 Economic,Local,WIND,96,110
03/31,14 Economic,System,SOLR,334,430
03/31,14 Economic,System,WIND,14,9
03/31,14 SelfSchCut,Local,SOLR,2,
03/31,15 Economic,Local,SOLR,105,316
03/31,15 Economic,Local,WIND,74,72
03/31,15 Economic,System,SOLR,370,422
03/31,15 Economic,System,WIND,5,12
03/31,15 SelfSchCut,Local,SOLR,4,12
03/31,16 Economic,Local,SOLR,107,120
03/31,16 Economic,Local,WIND,38,64
03/31,16 Economic,System,SOLR,388,584
03/31,16 Economic,System,WIND,7,9
03/31,16 SelfSchCut,Local,SOLR,6,6
03/31,17 Economic,Local,SOLR,15,36
03/31,17 Economic,System,SOLR,73,282
03/31,17 Economic,System,WIND,5,11
03/31,17 SelfSchCut,Local,SOLR,0,
