DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/23,1 Economic,,System,WIND,6,77
03/23,2 Economic,,Local,WIND,8,100
03/23,3 Economic,,System,WIND,36,94
03/23,4 Economic,,Local,WIND,23,165
03/23,4 Economic,,System,WIND,31,
03/23,5 Economic,,System,WIND,92,419
03/23,6 Economic,,System,WIND,55,282
03/23,8 Economic,,Local,SOLR,0,2
03/23,8 Economic,,System,SOLR,0,
03/23,9 Economic,,Local,SOLR,67,
03/23,9 Economic,,Local,WIND,6,
03/23,9 Economic,,System,SOLR,415,1162
03/23,9 Economic,,System,WIND,47,71
03/23,10 Economic,,Local,SOLR,99,
03/23,10 Economic,,Local,WIND,6,
03/23,10 Economic,,System,SOLR,930,1388
03/23,10 Economic,,System,WIND,205,568
03/23,11 Economic,,System,SOLR,761,1761
03/23,11 Economic,,System,WIND,77,95
03/23,12 Economic,,System,SOLR,608,1480
03/23,12 Economic,,System,WIND,79,81
03/23,13 Economic,,System,SOLR,769,952
03/23,13 Economic,,System,WIND,72,71
03/23,14 Economic,,Local,SOLR,0,
03/23,14 Economic,,System,SOLR,601,825
03/23,14 Economic,,System,WIND,75,63
03/23,15 Economic,,Local,SOLR,0,
03/23,15 Economic,,System,SOLR,702,933
03/23,15 Economic,,System,WIND,73,70
03/23,16 Economic,Local,SOLR,6,18
03/23,16 Economic,System,SOLR,920,1163
03/23,16 Economic,System,WIND,63,60
03/23,16 SelfSchCut,Local,SOLR,2,
03/23,17 Economic,Local,SOLR,98,2
03/23,17 Economic,Local,WIND,6,
03/23,17 Economic,System,SOLR,802,1219
03/23,17 Economic,System,WIND,61,71
03/23,17 SelfSchCut,Local,SOLR,1,
03/23,18 Economic,Local,SOLR,0,
03/23,18 Economic,System,SOLR,630,1170
03/23,18 Economic,System,WIND,234,508
03/23,18 SelfSchCut,System,SOLR,0,
03/23,19 Economic,Local,SOLR,0,
03/23,19 Economic,System,SOLR,3,14
03/23,19 Economic,System,WIND,20,95
