DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/19,8 Economic,,System,SOLR,2,22
02/19,8 Economic,,System,WIND,5,30
02/19,9 Economic,,System,SOLR,491,996
02/19,9 Economic,,System,WIND,54,173
02/19,10 Economic,,System,SOLR,468,731
02/19,10 Economic,,System,WIND,23,26
02/19,11 Economic,,System,SOLR,124,514
02/19,11 Economic,,System,WIND,20,27
02/19,12 Economic,,System,SOLR,378,642
02/19,12 Economic,,System,WIND,45,45
02/19,13 Economic,,System,SOLR,252,632
02/19,13 Economic,,System,WIND,70,72
02/19,14 Economic,,System,SOLR,119,303
02/19,14 Economic,,System,WIND,78,77
02/19,14 SelfSchCut,,Local,SOLR,1,
02/19,15 Economic,,System,SOLR,456,763
02/19,15 Economic,,System,WIND,85,196
02/19,16 Economic,,System,SOLR,506,693
02/19,16 Economic,,System,WIND,221,480
02/19,17 Economic,,System,SOLR,90,302
02/19,17 Economic,,System,WIND,104,458
02/19,23 Economic,,System,WIND,6,75
02/19,24 Economic,,System,WIND,106,237
