DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
04/08,9 Economic,,Local,SOLR,0,3
04/08,10 Economic,,Local,SOLR,18,
04/08,10 Economic,,System,SOLR,31,273
04/08,10 Economic,,System,WIND,2,21
04/08,11 Economic,,Local,SOLR,8,13
04/08,11 Economic,,System,SOLR,485,1289
04/08,11 Economic,,System,WIND,5,13
04/08,12 Economic,,Local,SOLR,266,12
04/08,12 Economic,,Local,WIND,1,
04/08,12 Economic,,System,SOLR,1358,1719
04/08,12 Economic,,System,WIND,54,271
04/08,12 SelfSchCut,,Local,SOLR,11,
04/08,13 Economic,,Local,SOLR,146,
04/08,13 Economic,,Local,WIND,3,
04/08,13 Economic,,System,SOLR,1548,1680
04/08,13 Economic,,System,WIND,215,414
04/08,14 Economic,,Local,SOLR,256,
04/08,14 Economic,,Local,WIND,11,
04/08,14 Economic,,System,SOLR,1263,1617
04/08,14 Economic,,System,WIND,104,368
04/08,15 Economic,,System,SOLR,1463,1500
04/08,15 Economic,,System,WIND,51,178
04/08,16 Economic,,Local,SOLR,490,
04/08,16 Economic,,Local,WIND,31,
04/08,16 Economic,,System,SOLR,954,1496
04/08,16 Economic,,System,WIND,66,268
04/08,17 Economic,,System,SOLR,1035,1456
04/08,17 Economic,,System,WIND,40,201
04/08,18 Economic,,System,SOLR,401,1270
04/08,18 Economic,,System,WIND,15,90
04/08,19 Economic,,Local,SOLR,0,
04/08,19 Economic,,System,SOLR,0,2
