DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/27,1 Economic,,System,WIND,1,16
03/27,2 Economic,,System,WIND,5,56
03/27,3 Economic,,System,WIND,20,92
03/27,4 Economic,,System,WIND,33,117
03/27,5 Economic,,System,WIND,45,130
03/27,9 Economic,,Local,SOLR,2,
03/27,9 Economic,,System,SOLR,2,11
03/27,10 Economic,,Local,SOLR,11,
03/27,10 Economic,,Local,WIND,7,
03/27,10 Economic,,System,SOLR,25,215
03/27,10 Economic,,System,WIND,22,92
03/27,11 Economic,,Local,SOLR,4,
03/27,11 Economic,,System,SOLR,59,536
03/27,11 Economic,,System,WIND,26,80
03/27,12 Economic,,System,SOLR,179,520
03/27,12 Economic,,System,WIND,54,70
03/27,13 Economic,,Local,SOLR,5,0
03/27,13 Economic,,System,SOLR,84,621
03/27,13 Economic,,System,WIND,28,81
03/27,14 Economic,,Local,SOLR,14,11
03/27,14 Economic,,System,SOLR,519,738
03/27,14 Economic,,System,WIND,79,82
03/27,14 SelfSchCut,,Local,SOLR,1,
03/27,15 Economic,,Local,SOLR,3,14
03/27,15 Economic,,System,SOLR,443,729
03/27,15 Economic,,System,WIND,81,82
03/27,15 ExDispatch,,Local,SOLR,2,
03/27,15 ExDispatch,,System,SOLR,3,
03/27,16 Economic,,Local,SOLR,19,
03/27,16 Economic,System,SOLR,167,579
03/27,16 Economic,System,WIND,40,72
03/27,16 ExDispatch,Local,SOLR,6,
03/27,16 ExDispatch,System,SOLR,4,8
03/27,17 Economic,Local,SOLR,28,
03/27,17 Economic,Local,WIND,6,
03/27,17 Economic,System,SOLR,39,381
03/27,17 Economic,System,WIND,20,80
03/27,17 ExDispatch,Local,SOLR,1,
03/27,18 Economic,Local,SOLR,1,
03/27,18 Economic,System,SOLR,283,1101
03/27,18 Economic,System,WIND,38,126
03/27,24 Economic,System,WIND,122,323
