DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
03/06,8 Economic,,Local,SOLR,88,448
03/06,8 Economic,,Local,WIND,9,53
03/06,9 Economic,,Local,SOLR,771,1175
03/06,9 Economic,,Local,WIND,45,131
03/06,9 Economic,,System,SOLR,129,102
03/06,9 Economic,,System,WIND,5,14
03/06,10 Economic,,Local,SOLR,885,1144
03/06,10 Economic,,Local,WIND,20,18
03/06,11 Economic,,Local,SOLR,384,883
03/06,11 Economic,,Local,WIND,16,17
03/06,11 Economic,,System,SOLR,3,
03/06,11 Economic,,System,WIND,0,
03/06,12 Economic,,Local,SOLR,7,
03/06,12 Economic,,Local,WIND,1,
03/06,12 Economic,,System,SOLR,99,325
03/06,12 Economic,,System,WIND,8,14
03/06,13 Economic,,Local,SOLR,317,493
03/06,13 Economic,,Local,WIND,11,11
03/06,14 Economic,,Local,SOLR,444,588
03/06,14 Economic,,Local,WIND,10,10
03/06,15 Economic,,Local,SOLR,312,
03/06,15 Economic,,Local,WIND,1,
03/06,15 Economic,,System,SOLR,121,613
03/06,15 Economic,,System,WIND,1,3
03/06,16 Economic,,Local,SOLR,74,
03/06,16 Economic,,Local,WIND,1,
03/06,16 Economic,,System,SOLR,83,789
03/06,16 Economic,,System,WIND,1,5
03/06,17 Economic,,System,SOLR,172,780
03/06,17 Economic,,System,WIND,1,2
