DATE,HOUR CURT TYPE,,REASON,FUEL TYPE,CURTAILED MWH,CURTAILED MW
02/28,8 Economic,,Local,SOLR,5,
02/28,8 Economic,,System,SOLR,14,123
02/28,8 Economic,,System,WIND,12,77
02/28,9 Economic,,Local,SOLR,288,1227
02/28,9 Economic,,Local,WIND,90,341
02/28,9 Economic,,System,SOLR,428,129
02/28,9 Economic,,System,WIND,54,9
02/28,10 Economic,,Local,SOLR,856,1193
02/28,10 Economic,,Local,WIND,164,381
02/28,10 Economic,,System,SOLR,156,160
02/28,10 Economic,,System,WIND,7,9
02/28,11 Economic,,Local,SOLR,1079,1127
02/28,11 Economic,,Local,WIND,154,357
02/28,11 Economic,,System,SOLR,0,
02/28,11 SelfSchCut,,Local,SOLR,5,
02/28,12 Economic,,Local,SOLR,848,1113
02/28,12 Economic,,Local,WIND,77,241
02/28,13 Economic,,Local,SOLR,393,461
02/28,13 Economic,,Local,WIND,28,33
02/28,13 Economic,,System,SOLR,0,2
02/28,14 Economic,,Local,SOLR,404,
02/28,14 Economic,,Local,WIND,21,
02/28,14 Economic,,System,SOLR,72,849
02/28,14 Economic,,System,WIND,2,24
02/28,15 Economic,,System,SOLR,1232,1261
02/28,15 Economic,,System,WIND,77,80
02/28,16 Economic,,Local,SOLR,90,1078
02/28,16 Economic,,Local,WIND,12,146
02/28,16 Economic,,System,SOLR,964,127
02/28,16 Economic,,System,WIND,47,2
02/28,17 Economic,,System,SOLR,433,1006
02/28,17 Economic,,System,WIND,55,133
02/28,18 Economic,,System,SOLR,1,2
